WS,ID,WSID,visual_score,biological_score,conductivity.uscm,turbidity.ntu,po4.mgL,no3.mgL,pH,temperature.c,e.coli.cfu,month,year,day,quarter,ecoli.method.known
BICO,101,BICO101,46,NA,NA,10.21,NA,NA,NA,7.3,100,2,2021,6,1,mTEC
MIDO,505,MIDO505,39,NA,NA,12.9,NA,1.2,NA,8,165,2,2021,6,1,mTEC
MIDO,507,MIDO507,39,NA,NA,7.47,NA,NA,NA,7.4,140,2,2021,6,1,mTEC
MIDO,508,MIDO508,39,NA,NA,11,NA,NA,NA,7.4,140,2,2021,6,1,mTEC
MIDO,604,MIDO604,34,NA,NA,7.78,NA,NA,NA,7.5,85,2,2021,6,1,mTEC
MIDO,609,MIDO609,34,NA,NA,4.77,NA,NA,NA,9.5,280,2,2021,6,1,mTEC
MIDO,610,MIDO610,45,NA,NA,7.25,NA,1.2,NA,7.7,120,2,2021,6,1,mTEC
MIDO,612,MIDO612,39,NA,NA,7.86,NA,NA,NA,NA,95,2,2021,6,1,mTEC
MIDO,613,MIDO613,36,NA,NA,8.32,NA,NA,NA,8,130,2,2021,6,1,mTEC
MIDO,616,MIDO616,28,NA,NA,3.26,NA,1.4,NA,8.4,265,2,2021,6,1,mTEC
MIDO,617,MIDO617,32,NA,NA,12.1,NA,NA,NA,8.6,35,2,2021,6,1,mTEC
MIDO,706,MIDO706,30,NA,NA,10.56,NA,1.5,NA,7,220,2,2021,6,1,mTEC
MIDO,707,MIDO707,48,NA,NA,NA,NA,NA,NA,7.9,105,2,2021,6,1,mTEC
MIDO,709,MIDO709,42,NA,NA,3.88,NA,2.6,NA,9.7,585,2,2021,6,1,mTEC
MIDO,712,MIDO712,34,NA,NA,2.96,NA,2.2,NA,8.3,180,2,2021,6,1,mTEC
MIDO,719,MIDO719,54,NA,NA,8.25,NA,NA,NA,7.1,120,2,2021,6,1,mTEC
MIDO,801,MIDO801,33,NA,NA,8.23,NA,1.9,NA,7.2,95,2,2021,6,1,mTEC
MIDO,802,MIDO802,40,NA,NA,2.98,NA,1.6,NA,7.3,285,2,2021,6,1,mTEC
MIDO,804,MIDO804,44,NA,NA,2.41,NA,NA,NA,7.7,155,2,2021,6,1,mTEC
MIDO,805,MIDO805,34,NA,NA,5.4,NA,0.9,NA,8.4,595,2,2021,6,1,mTEC
MIDO,825,MIDO825,44,NA,NA,4.41,NA,2,NA,8.9,735,2,2021,6,1,mTEC
MIDO,826,MIDO826,42,NA,NA,2.16,NA,1.8,NA,9.3,660,2,2021,6,1,mTEC
MIDO,831,MIDO831,35,NA,NA,1.79,NA,2.1,NA,NA,320,2,2021,6,1,mTEC
MIDO,brooklyn at the plaza,MIDObrooklyn at the plaza,21,NA,NA,3.92,NA,NA,NA,8.8,170,2,2021,6,1,mTEC
NORO,503,NORO503,33,NA,NA,8.46,NA,1.5,NA,7.3,640,2,2021,6,1,mTEC
NORO,510,NORO510,24,NA,NA,9.28,NA,2.2,NA,7.1,75,2,2021,6,1,mTEC
NORO,605,NORO605,36,NA,NA,8.79,NA,2.3,NA,7.6,105,2,2021,6,1,mTEC
NORO,615,NORO615,15,NA,NA,1.22,NA,2,NA,NA,225,2,2021,6,1,mTEC
BICO,101,BICO101,40,NA,87.9,14.1,NA,1.2,7.19,18.2,145,4,2021,17,2,mTEC
MIDO,505,MIDO505,41,NA,57.9,17.8,NA,0.8,7.05,15.7,285,4,2021,17,2,mTEC
MIDO,507,MIDO507,38,NA,58.6,3.6,NA,0.7,6.95,15.7,155,4,2021,17,2,mTEC
MIDO,508,MIDO508,38,NA,57.1,16.2,NA,1,6.95,15.8,245,4,2021,17,2,mTEC
MIDO,604,MIDO604,32,NA,59.5,10.1,NA,0.2,7.5,15.3,190,4,2021,17,2,mTEC
MIDO,609,MIDO609,NA,NA,60,12.7,NA,0,6.99,15.1,275,4,2021,17,2,mTEC
MIDO,610,MIDO610,39,NA,60.7,6.46,NA,0.8,7.09,15.9,155,4,2021,17,2,mTEC
MIDO,612,MIDO612,34,NA,59.4,7.45,NA,0.3,7.94,NA,155,4,2021,17,2,mTEC
MIDO,613,MIDO613,NA,NA,58.7,13.2,NA,0.3,7.14,16.5,190,4,2021,17,2,mTEC
MIDO,616,MIDO616,42,NA,80,3.71,NA,0.6,7.15,15.8,225,4,2021,17,2,mTEC
MIDO,617,MIDO617,NA,NA,46.3,11.5,NA,0.4,7.1,15.4,120,4,2021,17,2,mTEC
MIDO,706,MIDO706,NA,NA,46.4,15.8,NA,0,7.12,16.1,340,4,2021,17,2,mTEC
MIDO,707,MIDO707,37,NA,98.6,6.72,NA,1.2,7.19,16.6,90,4,2021,17,2,mTEC
MIDO,709,MIDO709,NA,NA,64.7,4.34,NA,2.6,6.65,15.4,285,4,2021,17,2,mTEC
MIDO,712,MIDO712,NA,NA,75.3,1.91,NA,4.6,6.94,15.1,235,4,2021,17,2,mTEC
MIDO,719,MIDO719,34,NA,84.9,12.9,NA,1.1,7.15,17.8,205,4,2021,17,2,mTEC
MIDO,801,MIDO801,45,NA,104.6,12.6,NA,0.3,7.33,16.7,155,4,2021,17,2,mTEC
MIDO,802,MIDO802,52,NA,79.9,3.85,NA,1.2,7.56,14.7,235,4,2021,17,2,mTEC
MIDO,804,MIDO804,44,NA,75.6,3.35,NA,1.1,7.82,14.8,510,4,2021,17,2,mTEC
MIDO,805,MIDO805,40,NA,70.3,8.38,NA,0.6,7.82,16.1,255,4,2021,17,2,mTEC
MIDO,825,MIDO825,44,NA,68.9,4.05,NA,1,6.95,16.1,520,4,2021,17,2,mTEC
MIDO,826,MIDO826,52,NA,82.3,3.27,NA,1,6.93,15.5,390,4,2021,17,2,mTEC
MIDO,831,MIDO831,34,NA,104.2,1.75,NA,1.6,7.09,15.7,750,4,2021,17,2,mTEC
MIDO,brooklyn at the plaza,MIDObrooklyn at the plaza,35,NA,83,3.71,NA,1.7,6.76,15.4,360,4,2021,17,2,mTEC
NORO,503,NORO503,31,NA,64.2,12.3,NA,0,7.13,15.5,580,4,2021,17,2,mTEC
NORO,510,NORO510,36,NA,72.5,20.3,NA,0.5,7.13,17.2,140,4,2021,17,2,mTEC
NORO,605,NORO605,38,NA,90.9,14.4,NA,1.1,7.16,17.6,100,4,2021,17,2,mTEC
NORO,615,NORO615,29,NA,150.5,1.59,NA,3,7.03,17.4,450,4,2021,17,2,mTEC
BICO,101,BICO101,34,NA,54.9,57.6,NA,NA,7.47,10.1,595,2,2020,,1,mTEC
MIDO,103,MIDO103,39,NA,53.2,51.2,NA,NA,7.25,9.1,360,2,2020,,1,mTEC
MIDO,301,MIDO301,42,17,36,18,NA,NA,7.3,9.7,415,2,2020,,1,mTEC
MIDO,305,MIDO305,41,NA,40.8,29.3,NA,NA,7.11,10.6,635,2,2020,,1,mTEC
MIDO,502,MIDO502,33,NA,37.4,39.3,NA,NA,7.35,9.6,NA,2,2020,,1,
MIDO,505,MIDO505,33,NA,40.2,40.1,NA,NA,7.39,9.8,NA,2,2020,,1,
MIDO,506,MIDO506,42,NA,44.6,26.4,NA,NA,7.42,9.9,NA,2,2020,,1,
MIDO,507,MIDO507,30,NA,40.8,41.1,NA,NA,7.46,9.7,NA,2,2020,,1,
MIDO,508,MIDO508,42,NA,43.3,20.2,NA,NA,7.4,10.1,NA,2,2020,,1,
MIDO,604,MIDO604,33,NA,49.5,19.8,NA,NA,7.45,9.4,145,2,2020,,1,mTEC
MIDO,605,MIDO605,,NA,37.6,15.1,NA,NA,7.28,,225,2,2020,,1,mTEC
MIDO,606,MIDO606,23,NA,40.2,16.1,NA,NA,7.45,9,145,2,2020,,1,mTEC
