WS,ID,WSID,visual_score,biological_score,conductivity.uscm,turbidity.ntu,po4.mgL,no3.mgL,pH,temperature.c,e.coli.cfu,month,year,day,quarter,ecoli.method.known
BICO,101,BICO101,50,NA,81.9,16.5,NA,2,7.18,25.9,280,7,2021,17,3,mTEC
MIDO,301,MIDO301,45,NA,42.4,8.92,NA,0.4,6.93,20.4,155,7,2021,17,3,mTEC
MIDO,505,MIDO505,41,NA,89.9,9.44,NA,0.7,6.84,23.2,400,7,2021,17,3,mTEC
MIDO,507,MIDO507,36,NA,54.8,3.09,NA,0.4,6.86,23.7,165,7,2021,17,3,mTEC
MIDO,508,MIDO508,39,NA,55.6,9.63,NA,3.5,6.93,24.4,365,7,2021,17,3,mTEC
MIDO,604,MIDO604,35,NA,51.7,7.75,NA,0.7,6.92,23.2,215,7,2021,17,3,mTEC
MIDO,609,MIDO609,45,NA,55.9,6.81,NA,0.2,7.03,20.7,390,7,2021,17,3,mTEC
MIDO,610,MIDO610,37,NA,79.4,10.1,NA,0.7,6.63,20.3,3150,7,2021,17,3,mTEC
MIDO,612,MIDO612,44,NA,NA,NA,NA,NA,NA,23.5,245,7,2021,17,3,mTEC
MIDO,613,MIDO613,42,NA,61,10.9,NA,1.5,6.91,22.3,860,7,2021,17,3,mTEC
MIDO,616,MIDO616,43,NA,71,10.4,NA,1.1,6.79,22.3,1150,7,2021,17,3,mTEC
MIDO,706,MIDO706,44,NA,41.6,15.6,NA,0.9,6.98,24.8,490,7,2021,17,3,mTEC
MIDO,707,MIDO707,36,NA,82.6,20.2,NA,2.5,6.96,23.4,875,7,2021,17,3,mTEC
MIDO,712,MIDO712,42,NA,64.4,9.05,NA,2.2,6.55,21.7,1150,7,2021,17,3,mTEC
MIDO,719,MIDO719,51,NA,70.7,19.9,NA,3.4,7.18,25.6,275,7,2021,17,3,mTEC
MIDO,801,MIDO801,39,NA,10.9,23.6,NA,2.9,7.12,20.3,105,7,2021,17,3,mTEC
MIDO,802,MIDO802,43,NA,31.1,6.75,NA,0.7,7.09,21.2,4000,7,2021,17,3,mTEC
MIDO,804,MIDO804,44,NA,60.5,5.57,NA,3.9,7.02,22.3,1400,7,2021,17,3,mTEC
MIDO,805,MIDO805,36,NA,59.4,8.88,NA,1,6.81,22.5,450,7,2021,17,3,mTEC
MIDO,825,MIDO825,50,NA,66.7,3.69,NA,1,6.45,21.5,1050,7,2021,17,3,mTEC
MIDO,826,MIDO826,46,NA,75.3,4.2,NA,0.8,6.58,22.3,1800,7,2021,17,3,mTEC
MIDO,831,MIDO831,44,NA,77,2.67,NA,1.8,6.76,23.5,610,7,2021,17,3,mTEC
NORO,114,NORO114,44,NA,67.9,22.4,NA,2.1,7.17,24.6,NA,7,2021,17,3,mTEC
NORO,401,NORO401,42,NA,50.9,7.79,NA,0.4,7.1,26,130,7,2021,17,3,mTEC
NORO,502,NORO502,33,NA,NA,NA,NA,4.7,N/A,21.8,NA,7,2021,17,3,mTEC
NORO,503,NORO503,31,NA,60.8,9.58,NA,4.2,7.09,23.3,1400,7,2021,17,3,mTEC
NORO,510,NORO510,36,NA,73.8,17,NA,2.2,7.09,25.3,175,7,2021,17,3,mTEC
NORO,527,NORO527,43,NA,85,6.87,NA,1.8,7.06,24.4,475,7,2021,17,3,mTEC
NORO,604,NORO604,NA,NA,54,3.84,NA,7.3,6.92,NA,NA,7,2021,17,3,mTEC
NORO,609,NORO609,28,NA,52.1,6.42,NA,1.9,7.12,25.5,135,7,2021,17,3,mTEC
NORO,615,NORO615,32,NA,134.6,3.57,NA,1.8,6.86,22.7,1050,7,2021,17,3,mTEC
